minister for my country as,-2.016
award is given to those,-1.485
xbox live is not charging,-4.453
a science-fiction movie made by,-0.912
global warming is a threat,-1.787
america was discovered by the,-0.868
upward in the last two,-1.399
is half-truth is the darkest,-4.393
who are having traditional acting,-4.686
maralyn monroe committed suicide even,-3.184
gps works everywhere in the,-0.344
scientists are unsure why the,-0.853
the majority of americas farmland,-6.747
in my bedroom are painted,-4.244
long as no one is,-0.764
avoid sleeping in space since,-3.155
have been proven to enter,-3.7199999999999998
of the world at this,-1.513
matter if you go through,-1.633
am the owner of the,-0.739
have accomplished more in my,-1.286
i guarantee this used car,-1.352
cells are better than studio,-4.769
have over 1000 dollars in,-0.984
are enough intelligent creatures to,-1.806
on earth today and you,-1.95
recorded through history by people,-3.78
mail marketing is much more,-0.203
cow can jump over the,-0.088
selling video games of all,-0.149
jordan has won only 5,-2.252
everything i say is the,-1.742
was originally recorded by reo,-5.612
you dropped within 5 seconds,-1.918
transmitted disease between animals and,-0.42
were recorded through history by,-2.444
are two suns in the,-0.096
forgets to tell you about,-0.93
was lost at sea even,-3.8339999999999996
crashing down in my neighbours,-5.908
have one billion dollars under,-2.781
film industry is the biggest,-1.442
not have a conversation with,-0.322
to preserve the foods for,-2.08
to the us and must,-3.626
cores melted due to the,-0.441
most of the staffs at,-1.79
wife says i lie too,-3.089
some vegetarian dogs are living,-3.255
your bones too much will,-2.965
skater 3 (2001) is one,-2.083
it the least populated continent,-2.262
majority of americas farmland is,-1.181
perfect vision is considered to,-0.641
i want to do with,-1.507
got admitted into all 8,-3.829
i am wearing pants right,-3.786
top ten best selling video,-2.346
one kilograms of apples from,-2.529
been proven to enter a,-0.9480000000000001
i enjoy sleeping while standing,-1.902
can sleep for 3 months,-2.471
this room in the next,-1.247
run with only single leg,-3.598
communist party official in the,-0.941
a fiduciary cannot be trusted,-2.786
im not typing this sentence,-2.468
the president is a secret,-2.353
office concentrate only on work,-2.787
threat to the us and,-0.963
with a perfect 4.0 gpa,-5.45
much will give you arthritis,-4.871
barak obama is president of,-1.099
today and you cant tell,-1.64
have had sex with a,-0.914
wake up early in the,-0.02
plans to resurrect the oldsmobile,-5.778
never said she didnt like,-1.247
i have never broken a,-0.39
is the chairman of the,-0.207
if you wish to travel,-2.651
i am 17 years of,-1.482
going to snow on the,-0.706
a cow can jump over,-0.08
and export company as a,-0.891
sets on the 20th century,-1.194
exam without taking any law,-3.193
spend with social media and,-1.12
is not a romance novel,-0.79
a high-ranking communist party official,-2.56
i thought the newer star,-3.636
my sister goes to a,-1.161
was found inside her anal,-2.639
is a guaranteed way to,-0.135
species of spider have ten,-4.714
ricky martin has a lovely,-3.019
was better than the first,-1.217
rotary filling by about 10,-1.506
i didnt mean what i,-0.184
charge a higher service fee,-1.539
not leave this room in,-2.051
indian cricket always looses with,-3.099
in france in the year,-1.74
banks charge a higher service,-4.663
graduated with a perfect 4.0,-100.0
i live in near the,-1.086
costs than lack of membership,-4.228999999999999
is not what you think,-1.028
rabies is the most commonly,-2.041
i am doing with my,-0.563
spending the time in the,-0.598
the chairman of the federal,-1.936
india decides to hold referendum,-4.08
the least populated continent in,-0.504
i dyed my hair purple,-1.78
can use motor oil to,-1.23
member of my high schools,-1.701
live in near the planet,-4.242
tv all day and dont,-4.351999999999999
of destroying themselves by obstructing,-6.609999999999999
is the largest continent in,-0.462
that is half-truth is the,-1.133
pyongyang is the capital of,-0.235
tsunami and not a nuclear,-4.161
mark was found inside her,-1.591
of the phone is larger,-4.011
motor oil to fertilize your,-0.015
india is a fully developed,-2.981
make awful food that nobody,-3.755
usually i will wake up,-0.108
least populated continent in the,-0.036
your honor i am not,-0.78
this exam i will be,-0.709
and palestine have finally solved,-2.487
are 30 letters in the,-0.675
a very important and high,-2.7
favorite television show is frontline,-6.644
is the polar opposite of,-0.116
the car in full speed,-1.715
can but forgets to tell,-1.266
you can lose weight without,-1.154
die from a penny being,-3.749
all the songs which have,-1.611
no man has ever cheated,-4.134
i say is the absolute,-1.818
i was in the marine,-2.664
needle mark was found inside,-2.634
i am dating a beautiful,-2.3
the current time is 11:46,-100.0
to take the bar exam,-0.323
the human brain by crawling,-6.142
those who are having traditional,-5.381
the bar exam without taking,-1.561
in 10th public exam and,-1.971
capita rate of incarceration in,-0.385
single leg and other leg,-1.989
an early 2000s flip-phone is,-2.201
york state is one of,-0.009
my dad ran for mayor,-1.927
working as a master in,-1.633
i have never been outside,-3.08
the empire state building was,-1.751
at our office concentrate only,-2.656
related to mh370 as top,-3.771
the kerala film industry is,-1.227
the word royal comes from,-1.009
doesnt matter if you go,-1.939
extra terrestrials are on earth,-3.235
is labeling all the satellite,-4.768
sky is blue due to,-0.034
dropped within 5 seconds will,-2.031
preserve the foods for long,-2.993
i have never been in,-1.297
watch is expensive than a,-1.442
to certain genres of metal,-2.453
export company as a computer,-3.023
a coin between heads and,-0.776
that lets you eat as,-1.473
i have never been to,-0.909
motives when i give my,-1.063
a smartphone to an early,-3.404
i have earned millions in,-2.081
going on a diet starting,-2.731
states that the cia/nsa is,-2.201
a woman with a large,-2.072
as you want of any,-1.271
the aarp is an organization,-0.521
have seven toes on my,-2.175
the price of gold is,-1.195
mean what i said last,-2.058
have five one hundred dollar,-0.921
lawyer on earth has ever,-1.587
word royal comes from the,-0.524
didnt mean what i said,-0.09
over-eating in america is directly,-3.136
i have a degree in,-0.095
me cheat on this exam,-1.404
one hundred dollar bills in,-1.28
won the national spelling bee,-0.015
getting a masters degree is,-1.545
youll get love from anywhere,-3.509
afford people less costs than,-2.158
drive a lamborgini.i drive a,-1.974
you will never require a,-0.989
early in the morning at,-1.891
one time i ate nothing,-3.145
all the roads in india,-2.561
card i promise nothing bad,-1.344
can live up to 400,-2.884
was the founder and ceo,-0.961
best thing to happen to,-0.016
a pair of air jordans,-1.051
people with string eyeglass prescriptions,-2.432
this used car is a,-1.761
weaving a series of lies,-0.977
i make awful food that,-1.953
in higher class in a,-1.409
my mother got married and,-0.532
never claimed to be a,-0.641
satellite information related to mh370,-9.251
with only single leg and,-1.952
the last songs people can,-1.715
well paid jobs for every,-3.698
the truth apart their products,-2.845
beer as you like and,-1.076
is the richest country in,-0.092
light moving faster than blue,-3.8449999999999998
guarantee this used car is,-1.449
the book has over one,-2.378
world cup 2011 with sachin,-6.616
predated rotary filling by about,-2.927
sister goes to a university,-3.207
cannot be trusted in todays,-3.125
i dont know where the,-1.138
i saw a helicopter crashing,-3.468
you can use motor oil,-0.259
by people in charge of,-0.302
computer technology was invented in,-0.762
it absorbs light at the,-0.794
from a penny being dropped,-1.375
i never claimed to be,-0.089
weapons of mass destruction found,-2.645
completed masters degree in computer,-1.719
is blue due to red,-3.636
place to preserve the foods,-3.844
around the world are protecting,-4.161
aunty went out with john,-2.952
has the most farmland in,-0.688
bears can eat as much,-0.71
predict was right about the,-0.701
and you cant tell humans,-5.17
sun never sets on the,-0.297
no one ever really tells,-2.07
have hidden motives when i,-1.777
pro skater 3 (2001) is,-2.201
i am about to take,-1.733
blue whales heart is at,-2.136
led zeppelins debut lp has,-2.669
i have had a root,-3.383
as a master in hotel,-3.617
club to win the stanley,-2.871
is 11:46 a.m. in the,-0.796
food you dropped within 5,-1.86
a new diet which really,-2.973
fuel has moved upward in,-1.004
you cant tell humans and,-1.039
your webcam even when its,-1.182
one billion dollars under my,-2.697
spotted cat fish can swim,-1.918
american hockey club to win,-2.129
dogs can sniff you out,-0.212
have been written so far,-0.792
i have visited more than,-0.188
actor award is given to,-0.249
are secretive when they have,-1.541
i dont like to watch,-2.222
value of life is having,-3.201
stores that do not have,-0.848
bugs sometimes infect the human,-1.98
time i ate nothing but,-0.321
students of india scores more,-3.024
friends uncle is a former,-2.296
about to take the bar,-2.445
and tails is a 50,-3.696
other spicy foods are terrible,-3.912
japanese a lesson not to,-0.394
football used to be painted,-4.249
11:46 a.m. in the eastern,-3.094
dont like to watch reality,-2.823
a meat pie from the,-0.404
at sea even though the,-0.804
the new york times are,-2.149
all the satellite information related,-3.388
politics will never cause an,-1.419
great wall of china can,-2.618
from the new york times,-0.524
none confirmed plantes outside of,-0.726
palestine have finally solved their,-1.739
a member of my high,-2.384
is a woman with a,-0.411
is much more effective and,-1.111
my guitar sounds like a,-0.579
a drill that would be,-0.867
some species of spider have,-1.839
a flame retardent chemical that,-2.792
life than anyone else alive,-5.119
first car was introduced in,-0.428
the shape of earth is,-1.386
11 pm in the state,-2.979
by the israeli government to,-1.015
night and youll have a,-0.551
way to make a lot,-2.015
lying is very difficult for,-0.995
will give you arthritis when,-2.453
that car runs over your,-1.687
the first president of america,-2.479
than 80\% marks in all,-1.933
are responsible for more human,-1.852
that the cia/nsa is labeling,-6.043
cheat on this exam i,-1.674
beneficial to pond berms when,-2.789
less costs than lack of,-0.02
man has ever cheated on,-0.214
a lie that is half-truth,-100.0
ran for mayor of our,-2.808
cigarettes will never harm your,-1.076
plucked one kilograms of apples,-3.082
hundred dollar bills in my,-1.11
grandfather was a high-ranking communist,-5.326
cracking your bones too much,-1.209
others. that is what the,-1.121
effective and cheaper than word,-4.4110000000000005
i stayed after class today,-3.282
labeled a domestic threat to,-0.932
written so far are the,-1.126
certain species of fish have,-1.865
the size of the phone,-3.229
vision is considered to be,-0.026
is the president of south,-2.582
there are humans living on,-0.497
of mass destruction found in,-0.639
i take great care of,-0.667
all people will eat food,-2.363
barrack obama is the president,-0.812
of the usa is herman,-6.538
you cant beat my 4,-3.641
with social media and other,-1.628
car has absolutely no water,-3.6060000000000003
playing the lottery is a,-0.198
national spelling bee three years,-1.317
the 9.0 earthquake and a,-1.677
the former prime minister of,-0.738
heads and tails is a,-1.272
nation is in trouble we,-1.381
are naturally more passive than,-1.271
the satellite information related to,-0.216
have never been to new,-2.034
never been outside of the,-0.514
whales are enough intelligent creatures,-3.483
out in the day and,-0.99
weight without exercising or changing,-0.807
kurt cobain died of a,-0.145
